review_id,protocol_version,model_correctness,reference_fidelity,failure_category,confidence,evidence_note,rater_pseudonym,timestamp
R0043,second_rater_v1_20260814,,,,,,,
R0044,second_rater_v1_20260814,,,,,,,
R0045,second_rater_v1_20260814,,,,,,,
R0046,second_rater_v1_20260814,,,,,,,
R0047,second_rater_v1_20260814,,,,,,,
R0048,second_rater_v1_20260814,,,,,,,
R0049,second_rater_v1_20260814,,,,,,,
R0050,second_rater_v1_20260814,,,,,,,
R0051,second_rater_v1_20260814,,,,,,,
R0052,second_rater_v1_20260814,,,,,,,
R0053,second_rater_v1_20260814,,,,,,,
R0054,second_rater_v1_20260814,,,,,,,
R0055,second_rater_v1_20260814,,,,,,,
R0056,second_rater_v1_20260814,,,,,,,
R0057,second_rater_v1_20260814,,,,,,,
R0058,second_rater_v1_20260814,,,,,,,
R0059,second_rater_v1_20260814,,,,,,,
R0060,second_rater_v1_20260814,,,,,,,
R0061,second_rater_v1_20260814,,,,,,,
R0062,second_rater_v1_20260814,,,,,,,
R0063,second_rater_v1_20260814,,,,,,,
R0064,second_rater_v1_20260814,,,,,,,
R0065,second_rater_v1_20260814,,,,,,,
R0066,second_rater_v1_20260814,,,,,,,
R0067,second_rater_v1_20260814,,,,,,,
R0068,second_rater_v1_20260814,,,,,,,
R0069,second_rater_v1_20260814,,,,,,,
R0070,second_rater_v1_20260814,,,,,,,
R0071,second_rater_v1_20260814,,,,,,,
R0072,second_rater_v1_20260814,,,,,,,
R0073,second_rater_v1_20260814,,,,,,,
R0074,second_rater_v1_20260814,,,,,,,
R0075,second_rater_v1_20260814,,,,,,,
R0076,second_rater_v1_20260814,,,,,,,
R0077,second_rater_v1_20260814,,,,,,,
R0078,second_rater_v1_20260814,,,,,,,
R0079,second_rater_v1_20260814,,,,,,,
R0080,second_rater_v1_20260814,,,,,,,
R0081,second_rater_v1_20260814,,,,,,,
R0082,second_rater_v1_20260814,,,,,,,
R0083,second_rater_v1_20260814,,,,,,,
R0084,second_rater_v1_20260814,,,,,,,
R0085,second_rater_v1_20260814,,,,,,,
R0086,second_rater_v1_20260814,,,,,,,
R0087,second_rater_v1_20260814,,,,,,,
R0088,second_rater_v1_20260814,,,,,,,
R0089,second_rater_v1_20260814,,,,,,,
R0090,second_rater_v1_20260814,,,,,,,
R0091,second_rater_v1_20260814,,,,,,,
R0092,second_rater_v1_20260814,,,,,,,
R0093,second_rater_v1_20260814,,,,,,,
R0094,second_rater_v1_20260814,,,,,,,
R0095,second_rater_v1_20260814,,,,,,,
R0096,second_rater_v1_20260814,,,,,,,
R0097,second_rater_v1_20260814,,,,,,,
R0098,second_rater_v1_20260814,,,,,,,
R0099,second_rater_v1_20260814,,,,,,,
R0100,second_rater_v1_20260814,,,,,,,
R0101,second_rater_v1_20260814,,,,,,,
R0102,second_rater_v1_20260814,,,,,,,
R0103,second_rater_v1_20260814,,,,,,,
R0104,second_rater_v1_20260814,,,,,,,
R0105,second_rater_v1_20260814,,,,,,,
R0106,second_rater_v1_20260814,,,,,,,
R0107,second_rater_v1_20260814,,,,,,,
R0108,second_rater_v1_20260814,,,,,,,
R0109,second_rater_v1_20260814,,,,,,,
R0110,second_rater_v1_20260814,,,,,,,
R0111,second_rater_v1_20260814,,,,,,,
R0112,second_rater_v1_20260814,,,,,,,
R0113,second_rater_v1_20260814,,,,,,,
R0114,second_rater_v1_20260814,,,,,,,
R0115,second_rater_v1_20260814,,,,,,,
R0116,second_rater_v1_20260814,,,,,,,
R0117,second_rater_v1_20260814,,,,,,,
R0118,second_rater_v1_20260814,,,,,,,
R0119,second_rater_v1_20260814,,,,,,,
R0120,second_rater_v1_20260814,,,,,,,
R0121,second_rater_v1_20260814,,,,,,,
R0122,second_rater_v1_20260814,,,,,,,
R0123,second_rater_v1_20260814,,,,,,,
R0124,second_rater_v1_20260814,,,,,,,
R0125,second_rater_v1_20260814,,,,,,,
R0126,second_rater_v1_20260814,,,,,,,
R0127,second_rater_v1_20260814,,,,,,,
R0128,second_rater_v1_20260814,,,,,,,
R0129,second_rater_v1_20260814,,,,,,,
R0130,second_rater_v1_20260814,,,,,,,
R0131,second_rater_v1_20260814,,,,,,,
R0132,second_rater_v1_20260814,,,,,,,
R0133,second_rater_v1_20260814,,,,,,,
R0134,second_rater_v1_20260814,,,,,,,
R0135,second_rater_v1_20260814,,,,,,,
R0136,second_rater_v1_20260814,,,,,,,
R0137,second_rater_v1_20260814,,,,,,,
R0138,second_rater_v1_20260814,,,,,,,
R0139,second_rater_v1_20260814,,,,,,,
R0140,second_rater_v1_20260814,,,,,,,
R0141,second_rater_v1_20260814,,,,,,,
R0142,second_rater_v1_20260814,,,,,,,
R0143,second_rater_v1_20260814,,,,,,,
R0144,second_rater_v1_20260814,,,,,,,
R0145,second_rater_v1_20260814,,,,,,,
R0146,second_rater_v1_20260814,,,,,,,
R0147,second_rater_v1_20260814,,,,,,,
R0148,second_rater_v1_20260814,,,,,,,
R0149,second_rater_v1_20260814,,,,,,,
R0150,second_rater_v1_20260814,,,,,,,
R0151,second_rater_v1_20260814,,,,,,,
R0152,second_rater_v1_20260814,,,,,,,
R0153,second_rater_v1_20260814,,,,,,,
R0154,second_rater_v1_20260814,,,,,,,
R0155,second_rater_v1_20260814,,,,,,,
R0156,second_rater_v1_20260814,,,,,,,
R0157,second_rater_v1_20260814,,,,,,,
R0158,second_rater_v1_20260814,,,,,,,
R0159,second_rater_v1_20260814,,,,,,,
R0160,second_rater_v1_20260814,,,,,,,
R0161,second_rater_v1_20260814,,,,,,,
R0162,second_rater_v1_20260814,,,,,,,
R0163,second_rater_v1_20260814,,,,,,,
R0164,second_rater_v1_20260814,,,,,,,
R0165,second_rater_v1_20260814,,,,,,,
R0166,second_rater_v1_20260814,,,,,,,
R0167,second_rater_v1_20260814,,,,,,,
R0168,second_rater_v1_20260814,,,,,,,
R0169,second_rater_v1_20260814,,,,,,,
R0170,second_rater_v1_20260814,,,,,,,
R0171,second_rater_v1_20260814,,,,,,,
R0172,second_rater_v1_20260814,,,,,,,
R0173,second_rater_v1_20260814,,,,,,,
R0174,second_rater_v1_20260814,,,,,,,
R0175,second_rater_v1_20260814,,,,,,,
R0176,second_rater_v1_20260814,,,,,,,
R0177,second_rater_v1_20260814,,,,,,,
R0178,second_rater_v1_20260814,,,,,,,
R0179,second_rater_v1_20260814,,,,,,,
R0180,second_rater_v1_20260814,,,,,,,
R0181,second_rater_v1_20260814,,,,,,,
R0182,second_rater_v1_20260814,,,,,,,
R0183,second_rater_v1_20260814,,,,,,,
R0184,second_rater_v1_20260814,,,,,,,
R0185,second_rater_v1_20260814,,,,,,,
R0186,second_rater_v1_20260814,,,,,,,
R0187,second_rater_v1_20260814,,,,,,,
R0188,second_rater_v1_20260814,,,,,,,
R0189,second_rater_v1_20260814,,,,,,,
R0190,second_rater_v1_20260814,,,,,,,
R0191,second_rater_v1_20260814,,,,,,,
R0192,second_rater_v1_20260814,,,,,,,
R0193,second_rater_v1_20260814,,,,,,,
R0194,second_rater_v1_20260814,,,,,,,
R0195,second_rater_v1_20260814,,,,,,,
R0196,second_rater_v1_20260814,,,,,,,
R0197,second_rater_v1_20260814,,,,,,,
R0198,second_rater_v1_20260814,,,,,,,
R0199,second_rater_v1_20260814,,,,,,,
R0200,second_rater_v1_20260814,,,,,,,
R0201,second_rater_v1_20260814,,,,,,,
R0202,second_rater_v1_20260814,,,,,,,
R0203,second_rater_v1_20260814,,,,,,,
R0204,second_rater_v1_20260814,,,,,,,
R0205,second_rater_v1_20260814,,,,,,,
R0206,second_rater_v1_20260814,,,,,,,
R0207,second_rater_v1_20260814,,,,,,,
R0208,second_rater_v1_20260814,,,,,,,
R0209,second_rater_v1_20260814,,,,,,,
R0210,second_rater_v1_20260814,,,,,,,
R0211,second_rater_v1_20260814,,,,,,,
R0212,second_rater_v1_20260814,,,,,,,
R0213,second_rater_v1_20260814,,,,,,,
R0214,second_rater_v1_20260814,,,,,,,
R0215,second_rater_v1_20260814,,,,,,,
R0216,second_rater_v1_20260814,,,,,,,
R0217,second_rater_v1_20260814,,,,,,,
R0218,second_rater_v1_20260814,,,,,,,
R0219,second_rater_v1_20260814,,,,,,,
R0220,second_rater_v1_20260814,,,,,,,
R0221,second_rater_v1_20260814,,,,,,,
R0222,second_rater_v1_20260814,,,,,,,
R0223,second_rater_v1_20260814,,,,,,,
R0224,second_rater_v1_20260814,,,,,,,
R0225,second_rater_v1_20260814,,,,,,,
R0226,second_rater_v1_20260814,,,,,,,
R0227,second_rater_v1_20260814,,,,,,,
R0228,second_rater_v1_20260814,,,,,,,
R0229,second_rater_v1_20260814,,,,,,,
R0230,second_rater_v1_20260814,,,,,,,
R0231,second_rater_v1_20260814,,,,,,,
R0232,second_rater_v1_20260814,,,,,,,
R0233,second_rater_v1_20260814,,,,,,,
