item,correct_strict_v1,correct_strict_v2_display_primary,span_entropy,perception_entropy,model_span,truth_span,model_span_norm,truth_span_norm,model_label,truth_label,model_tier,truth_tier,is_mcq,sympy_match,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,rules_disagree,priority,final_label,confidence,note
89,False,False,0.6730116670092565,0.6730116670092565,"[1, 5]",x = 1,"[1,5]",x=1,"text:[1, 5]","sympy:eq(x, 1)",display_math,display_math,False,False,False,False,False,False,False,True,True,False,False,False,False,False,high,,,
91,True,True,0.0,0.0,4^n,4^n,4^n,4^n,sympy:4**n,sympy:4**n,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
99,False,False,0.9502705392332347,0.9502705392332347,x^2 = 8x,"x^2 = 4(2)\textcolor{red}{x}, \quad \text{i.e.,} \quad x^2 = 8\textcolor{red}{x}.",x^2=8x,"x^2=4(2)x,i.e.,x^2=8x","sympy:eq(x**2, 8*x)","sympy:eq(x**2, 4*(2*x))",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
102,True,True,0.0,0.0,f,f,f,f,sympy:f,sympy:f,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
103,False,False,1.6094379124341005,1.6094379124341005,"A - B = \{1, 3, 5\} \text{ and } B - A = \{8\}.",A - B \neq B - A,"a-b={1,3,5} and b-a={8}",a-b \neq b-a,"text:a - b = \{1, 3, 5\} and b - a = \{8\}","sympy:ne(a - b, -a + b)",display_math,display_math,False,False,True,False,False,False,False,False,False,True,True,False,False,False,high,,,
106,True,True,1.3321790402101223,1.3321790402101223,"Also, note that 42 is divisible by 2 and 3","\quad \textcolor{red}{\text{Also, note that } 42 \text{ is divisible by 2 and 3.}}","also,note that 42 is divisible by 2 and 3","also,note that 42 is divisible by 2 and 3",sympy:a*(l*(o*s)),sympy:a*(l*(o*s)),last_line,display_math,False,True,False,False,True,False,False,False,True,False,False,False,True,False,high,,,
107,False,False,1.6094379124341005,1.6094379124341005,"Interestingly, the number 392 is also divisible by 11 and 98, but this fact does not affect whether it is a perfect cube",},"interestingly,the number 392 is also divisible by 11 and 98,but this fact does not affect whether it is a perfect cube",},"text:interestingly, the number 392 is also divisible by 11 and 98, but this fact does not affect whether it is a perfect cube",text:},last_line,last_line,False,False,False,False,False,False,False,True,True,False,False,False,True,False,high,,,
108,False,False,1.6094379124341005,1.6094379124341005,4900y^{2} - 100x^{2} = 275,"\frac{y^2}{\frac{11}{4}} - \frac{x^2}{\frac{25}{4}} = 1, \text{ i.e., } 100y^2 - 44x^2 = 275.",4900y^{2}-100x^{2}=275,"\frac {y^2}{\frac {11}{4}}-\frac {x^2}{\frac {25}{4}}=1,i.e.,100y^2-44x^2=275","sympy:eq(-100*x**2 + 4900*y**2, 275)","sympy:eq(-x**2/(25/4) + y**2/((11/4)), 1)",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
112,True,False,0.9502705392332347,0.5004024235381879,"\left(\frac{f}{g}\right)(t) = \frac{t^2}{2t+1}, \quad t \neq -\frac{1}{2}.","\left( \frac{f}{g} \right)(\textcolor{red}{t}) = \frac{\textcolor{red}{t}^2}{2\textcolor{red}{t} + 1}, \quad \textcolor{red}{t} \neq -\frac{1}{2}.","(\frac {f}{g} )(t)=\frac {t^2}{2t+1},t \neq-\frac {1}{2}","( \frac {f}{g} )(t)=\frac {t^2}{2t+1},t \neq-\frac {1}{2}","sympy:eq(t*(f/g), t**2/(2*t + 1))","sympy:eq(t*(f/g), t**2/(2*t + 1))",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,True,True,high,,,
114,True,False,1.6094379124341005,1.3321790402101223,\frac{dy}{dx} = \frac{1}{2} \sqrt{\frac{(x-3)(x^{2}+4)}{3x^{2}+4x+5}} \left[ \frac{1}{(x-3)} + \frac{2x}{x^{2}+4} - \frac{6x+4}{3x^{2}+4x+5} \right],\frac{dy}{dx} = \frac{1}{2} \sqrt{\frac{(x-3)(x^2 + 4)}{3x^2 + 4x + 5}} \left[ \frac{1}{(x-3)} + \frac{2x}{x^2 + 4} - \frac{6x + 4}{3x^2 + 4x + 5} \right].,\frac {dy}{dx}=\frac {1}{2} \sqrt {\frac {(x-3)(x^{2}+4)}{3x^{2}+4x+5}} [ \frac {1}{(x-3)}+\frac {2x}{x^{2}+4}-\frac {6x+4}{3x^{2}+4x+5} ],\frac {dy}{dx}=\frac {1}{2} \sqrt {\frac {(x-3)(x^2+4)}{3x^2+4x+5}} [ \frac {1}{(x-3)}+\frac {2x}{x^2+4}-\frac {6x+4}{3x^2+4x+5} ],"sympy:eq(derivative(y, x), (sqrt(((x - 3)*(x**2 + 4))/((3*x**2 + 4*x) + 5))*(-(6*x + 4)/((3*x**2 + 4*x) + 5) + ((2*x)/(x**2 + 4) + 1/(x - 3))))/2)","sympy:eq(derivative(y, x), (sqrt(((x - 3)*(x**2 + 4))/((3*x**2 + 4*x) + 5))*(-(6*x + 4)/((3*x**2 + 4*x) + 5) + ((2*x)/(x**2 + 4) + 1/(x - 3))))/2)",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,True,True,True,high,,,
116,True,True,0.5004024235381879,0.5004024235381879,"y \in [8, \infty).","\textcolor{red}{y} \in [8, \infty)","y \in [8,\infty )","y \in [8,\infty )",sympy:in*y,sympy:in*y,display_math,display_math,False,True,False,False,True,False,False,False,True,True,False,False,False,False,high,,,
117,True,False,0.9502705392332347,0.5004024235381879,P(A|B) = \frac{P(ADB)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \frac{4 \times 13}{9 \times 13} = \frac{4}{9},P(A|B) = \frac{P(A \cap B)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \textcolor{red}{\frac{4 \times 13}{9 \times 13}} = \frac{4}{9}.,p(a|b)=\frac {p(adb)}{p(b)}=\frac {\frac {4}{13}}{\frac {9}{13}}=\frac {4*13}{9*13}=\frac {4}{9},p(a|b)=\frac {p(a \cap b)}{p(b)}=\frac {\frac {4}{13}}{\frac {9}{13}}=\frac {4*13}{9*13}=\frac {4}{9},sympy:p,sympy:p,display_math,display_math,True,True,False,False,False,False,False,False,False,True,False,False,True,True,high,,,
120,False,False,0.5004024235381879,0.5004024235381879,S_{24} = \frac{24}{2} [2 \times 5 + (24 - 1) \times 3] = 12 [10 + 69] = 948,\textcolor{red}{948},s_{24}=\frac {24}{2} [2*5+(24-1)*3]=12 [10+69]=948,948,text:s_{24} = \frac{24}{2} [2 \times 5 + (24 - 1) \times 3] = 12 [10 + 69] = 948,sympy:948,display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
123,True,True,0.5004024235381879,0.5004024235381879,x = 4,x = \textcolor{red}{4},x=4,x=4,"sympy:eq(x, 4)","sympy:eq(x, 4)",display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
125,False,False,1.3321790402101223,1.3321790402101223,"Similarly, the direction cosines of the b-axis and c-axis are 0, 1, 0 and 0, 0, 1 respectively","0, 0, 1","similarly,the direction cosines of the b-axis and c-axis are 0,1,0 and 0,0,1 respectively","0,0,1","text:similarly, the direction cosines of the b-axis and c-axis are 0, 1, 0 and 0, 0, 1 respectively",sympy:0,last_line,display_math,False,False,False,False,True,False,False,False,True,False,False,False,True,False,high,,,
126,False,False,1.3321790402101223,1.3321790402101223,,\frac{y}{4} - 7 = 3.,<parse_failure>,\frac {y}{4}-7=3,<parse_failure>,"sympy:eq(y/4 - 7, 3)",parse_fail,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
127,True,True,0.5004024235381879,0.5004024235381879,f,f,f,f,sympy:f,sympy:f,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
132,True,True,0.6730116670092565,0.6730116670092565,"x = 3, \quad y = 1.","x = 3, \, y = 1","x=3,y=1","x=3,y=1","sympy:eq(x, 3)","sympy:eq(x, 3)",display_math,display_math,False,True,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
138,True,True,0.5004024235381879,0.5004024235381879,f+g,f + g,f+g,f+g,sympy:f + g,sympy:f + g,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
140,True,True,0.0,0.0,x = 1,x = 1,x=1,x=1,"sympy:eq(x, 1)","sympy:eq(x, 1)",display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
142,False,False,0.9502705392332347,0.9502705392332347,,(3x + 5y),<parse_failure>,(3x+5y),<parse_failure>,sympy:3*x + 5*y,parse_fail,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
144,False,False,1.0549201679861442,1.3321790402101223,The mode of this data is 2 because it occurs more frequently than other observations,2,the mode of this data is 2 because it occurs more frequently than other observations,2,text:the mode of this data is 2 because it occurs more frequently than other observations,sympy:2,last_line,display_math,False,False,False,False,False,False,False,True,False,False,False,False,True,False,high,,,
147,True,True,0.5004024235381879,0.5004024235381879,"12, 35, 37","12, 35, 37","12,35,37","12,35,37",sympy:12,sympy:12,display_math,display_math,False,True,False,False,True,False,False,False,True,False,False,False,False,False,high,,,
148,False,False,0.6730116670092565,0.6730116670092565,"Therefore, 301 is not a term of the given list of numbers",n,"therefore,301 is not a term of the given list of numbers",n,"text:therefore, 301 is not a term of the given list of numbers",sympy:n,last_line,display_math,False,False,False,False,False,False,False,True,True,False,False,False,True,False,high,,,
149,False,False,1.0549201679861442,1.0549201679861442,1^\circ,"0^\circ, 0^\circ, 1^\circ",1^\circ,"0^\circ,0^\circ,1^\circ",sympy:1**circ,sympy:0**circ,display_math,display_math,False,False,False,False,True,False,False,False,True,False,False,False,True,False,high,,,
151,False,False,1.3321790402101223,1.3321790402101223,\frac{15}{2} = \frac{8+q}{2},\textcolor{red}{q} = 7,\frac {15}{2}=\frac {8+q}{2},q=7,"sympy:eq(15/2, (q + 8)/2)","sympy:eq(q, 7)",display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
160,False,False,0.5004024235381879,0.5004024235381879,x = 5,\textcolor{red}{z} = 5,x=5,z=5,"sympy:eq(x, 5)","sympy:eq(z, 5)",last_line,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
165,False,True,0.5004024235381879,0.9502705392332347,"(2,1)","(2, 1)","(2,1)","(2,1)","text:(2,1)","text:(2, 1)",display_math,display_math,False,False,False,False,False,False,False,False,True,False,False,False,False,True,high,,,
166,False,False,1.3321790402101223,1.3321790402101223,AB,= \begin{bmatrix} 75 & 117 & 72 \\ 25 & 39 & 24 \end{bmatrix}.,ab,=\begin {bmatrix} 75 & 117 & 72 25 & 39 & 24 \end {bmatrix},sympy:a*b,text:= \begin{bmatrix} 75 117 72 25 39 24 \end{bmatrix},display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,True,False,high,,,
168,False,True,1.3321790402101223,1.6094379124341005,"= 154 \, \text{m}^2","= 154 \, \text{m}^2",=154 m^2,=154 m^2,"text:= 154 \, m^2","text:= 154 \, m^2",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
171,True,False,0.5004024235381879,0.5004024235381879,x = \frac{-11}{12}.,x = -\frac{11}{12},x=\frac {-11}{12},x=-\frac {11}{12},"sympy:eq(x, -11/12)","sympy:eq(x, -11/12)",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
172,False,True,1.3321790402101223,1.3321790402101223,a_n = ar^{n-1} = 5(5)^{n-1} = 5^{n-1},a_n = ar^{n-1} = 5(5)^{n-1} = \textcolor{red}{5^{n-1}}.,a_n=ar^{n-1}=5(5)^{n-1}=5^{n-1},a_n=ar^{n-1}=5(5)^{n-1}=5^{n-1},text:a_n = ar^{n-1} = 5(5)^{n-1} = 5^{n-1},text:a_n = ar^{n-1} = 5(5)^{n-1} = \textcolor{red}{5^{n-1}},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
176,False,False,0.0,0.0,x = 4,\frac{1}{3} \times \frac{12}{x - 8} = -1 \quad \textcolor{red}{\text{Assuming } x > 0} \quad \textcolor{red}{\text{or} \quad x = 4}.,x=4,\frac {1}{3}*\frac {12}{x-8}=-1 assuming x > 0 or x=4,"sympy:eq(x, 4)",text:\frac{1}{3} \times \frac{12}{x - 8} = -1 assuming x > 0 or x = 4,display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,True,False,high,,,
177,False,False,0.9502705392332347,0.9502705392332347,(3+4)^2 = 5^2,3^2 = 3 \times 3 = 9; \quad 4^2 = 4 \times 4 = 16; \quad 5^2 = 5 \times 5 = 25,(3+4)^2=5^2,3^2=3*3=9; 4^2=4*4=16; 5^2=5*5=25,text:(3+4)^2 = 5^2,text:3^2 = 3 \times 3 = 9; 4^2 = 4 \times 4 = 16; 5^2 = 5 \times 5 = 25,display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
179,True,False,1.3321790402101223,0.5004024235381879,z = \dfrac{1}{2x^2+1}.,\textcolor{red}{z} = \frac{1}{2x^2 + 1}.,z=\dfrac {1}{2x^2+1},z=\frac {1}{2x^2+1},"sympy:eq(z, 1/(2*x**2 + 1))","sympy:eq(z, 1/(2*x**2 + 1))",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
180,True,True,1.3321790402101223,1.3321790402101223,zx,zx,zx,zx,sympy:x*z,sympy:x*z,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
181,True,False,1.3321790402101223,0.5004024235381879,\sin^{-1}(2x\sqrt{1-x^2})=2\cos^{-1}x,\sin^{-1}\left(2x\sqrt{1-x^2}\right) = 2 \cos^{-1} x,\sin ^{-1}(2x\sqrt {1-x^2})=2\cos ^{-1}x,\sin ^{-1} (2x\sqrt {1-x^2} )=2 \cos ^{-1} x,"sympy:eq(asin(2*(x*sqrt(1 - x**2))), 2*acos(x))","sympy:eq(asin(2*(x*sqrt(1 - x**2))), 2*acos(x))",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
183,True,False,0.9502705392332347,0.0,(1-x^2)\frac{d^2y}{dx^2} - x\frac{dy}{dx} = 0.,(1 - x^2) \frac{d^2 y}{dx^2} - x \frac{dy}{dx} = 0,(1-x^2)\frac {d^2y}{dx^2}-x\frac {dy}{dx}=0,(1-x^2) \frac {d^2 y}{dx^2}-x \frac {dy}{dx}=0,"sympy:eq(-x*derivative(y, x) + ((d**2*y)/(dx**2))*(1 - x**2), 0)","sympy:eq(-x*derivative(y, x) + ((d**2*y)/(dx**2))*(1 - x**2), 0)",display_math,display_math,False,True,False,True,False,False,False,False,False,False,False,True,False,True,high,,,
188,False,False,1.0549201679861442,1.0549201679861442,\overrightarrow{\beta_2} = \frac{5}{2}\hat{i} + \frac{1}{2}\hat{j} - 3\hat{k},\vec{\beta_1} = \frac{3}{2} \hat{i} - \frac{1}{2} \hat{j} \quad \text{and} \quad \textcolor{red}{\vec{\beta_2} = \frac{5}{2} \hat{i} + \frac{1}{2} \hat{j} - 3\hat{k}}.,\overrightarrow {\beta _2}=\frac {5}{2}\hat {i}+\frac {1}{2}\hat {j}-3\hat {k},\vec {\beta _1}=\frac {3}{2} \hat {i}-\frac {1}{2} \hat {j} and \vec {\beta _2}=\frac {5}{2} \hat {i}+\frac {1}{2} \hat {j}-3\hat {k},"sympy:eq(beta_{2}*overrightarrow, -3*hat*k + ((5/2)*(hat*i) + (hat*j)/2))",text:\vec{\beta_1} = \frac{3}{2} \hat{i} - \frac{1}{2} \hat{j} and \textcolor{red}{\vec{\beta_2} = \frac{5}{2} \hat{i} + \frac{1}{2} \hat{j} - 3\hat{k}},display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
192,True,False,1.0549201679861442,0.5004024235381879,2x^{2} - 5x + 3 = 0,2x^2 - 5x + 3 = 0,2x^{2}-5x+3=0,2x^2-5x+3=0,"sympy:eq((2*x**2 - 5*x) + 3, 0)","sympy:eq((2*x**2 - 5*x) + 3, 0)",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
198,False,False,1.6094379124341005,1.6094379124341005,"\text{Minors of the element } a_{ij} \text{ is } M_{ij}. \\
\text{Here } a_{11} = 1. \text{ So } M_{11} = \text{Minor of } a_{11} = 3 \\
M_{12} = \text{Minor of } a_{12} = 4 \\
M_{21} = \text{Minor of } a_{21} = -2 \\
M_{22} = \text{Minor of } a_{22} = 1 \\
\text{Now, Cofactor of } a_{ij} \text{ is } A_{ij}. \text{ So} \\
A_{11} = (-1)^{1+1} M_{11} = 3 \\
A_{12} = (-1)^{1+2} M_{12} = -4 \\
A_{21} = (-1)^{2+1} M_{21} = 2 \\
A_{22} = (-1)^{2+2} M_{22} = 1",A_{22} = (-1)^{2+2} M_{22} = 1,"minors of the element a_{ij} is m_{ij}. here a_{11}=1. so m_{11}=minor of a_{11}=3 m_{12}=minor of a_{12}=4 m_{21}=minor of a_{21}=-2 m_{22}=minor of a_{22}=1 now,cofactor of a_{ij} is a_{ij}. so a_{11}=(-1)^{1+1} m_{11}=3 a_{12}=(-1)^{1+2} m_{12}=-4 a_{21}=(-1)^{2+1} m_{21}=2 a_{22}=(-1)^{2+2} m_{22}=1",a_{22}=(-1)^{2+2} m_{22}=1,"text:minors of the element a_{ij} is m_{ij}. here a_{11} = 1. so m_{11} = minor of a_{11} = 3 m_{12} = minor of a_{12} = 4 m_{21} = minor of a_{21} = -2 m_{22} = minor of a_{22} = 1 now, cofactor of a_{ij} is a_{ij}. so a_{11} = (-1)^{1+1} m_{11} = 3 a_{12} = (-1)^{1+2} m_{12} = -4 a_{21} = (-1)^{2+1} m_{21} = 2 a_{22} = (-1)^{2+2} m_{22} = 1",text:a_{22} = (-1)^{2+2} m_{22} = 1,display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
199,False,False,1.3321790402101223,1.3321790402101223,y = \frac{21}{3} = 7,7,y=\frac {21}{3}=7,7,text:y = \frac{21}{3} = 7,sympy:7,display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
204,True,False,1.0549201679861442,1.0549201679861442,&= 11310,= \textcolor{red}{11310},&=11310,=11310,text:= 11310,text:= 11310,last_line,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
206,False,True,1.6094379124341005,0.9502705392332347,\frac{1}{2},\frac{1}{2},\frac {1}{2},\frac {1}{2},sympy:1/2,sympy:1/2,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
208,False,False,0.5004024235381879,0.0,3x^2 = -4y,"x^2 = -4\left(\frac{1}{3}\right)y, \quad \text{i.e.,} \quad 3x^2 = -4y.",3x^2=-4y,"x^2=-4 (\frac {1}{3} )y,i.e.,3x^2=-4y","sympy:eq(3*x**2, -4*y)","sympy:eq(x**2, -4*y/3)",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
209,False,False,0.9502705392332347,0.9502705392332347,The perimeter of the park is 1600 m,},the perimeter of the park is 1600 m,},text:the perimeter of the park is 1600 m,text:},last_line,last_line,False,False,False,False,False,False,False,True,False,False,False,False,True,False,high,,,
